Burrito,Date,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Great
Asada,4/14/2016,0,7.89,2.0,,,,3.0,2.5,4.5,3.5,4.5,3.0,4.0,3.5,5.0,3.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,4/15/2016,1,6.25,4.0,,,,4.5,4.5,2.5,3.5,3.5,3.5,3.0,4.0,5.0,4.1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/15/2016,0,6.25,3.5,,,,4.0,4.0,4.0,2.5,3.0,3.5,4.0,4.0,5.0,4.0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/15/2016,0,6.25,4.0,,,,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.6,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Carnitas,4/15/2016,0,6.5,5.0,,,,4.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.7,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
California,4/15/2016,0,6.25,2.0,,,,5.0,5.0,5.0,4.0,4.0,2.0,3.371969696969697,5.0,5.0,5.0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,4/15/2016,0,6.5,2.5,,,,3.0,3.7830423940149633,3.5,4.0,4.0,3.0,3.371969696969697,4.0,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,4/15/2016,0,6.65,3.5,,,,3.5,3.7830423940149633,3.5,3.5,4.5,3.5,3.5,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/24/2016,0,5.95,3.5,20.0,22.0,0.77,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,4.5,3.8,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,4/24/2016,0,5.5,3.0,,,,2.0,4.0,3.0,3.0,3.0,4.0,3.5,3.5,3.979904306220096,3.0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
